"Name","Description","Short Description","Product Status","Permalink","Categories","Tags","SKU","Sale Price","Visibility","Stock Status","Price","Regular Price","Total Sales","Downloadable","Virtual","Purchase Note","Weight","Length","Width","Height","Sold Individually","Manage Stock","Stock","Backorders","Featured","Tax Status","Tax Class","Images","Download Limit","Download Expiry","File Path","Product URL","Product Type","Shipping Class","Comment Status","Ping Status"
"Testing 123 (Copy)","","","publish","http://aze2.youareheremedia.com/product/testing-123-copy/","#9 &amp; #10 Envelopes","","asdf","","visible","instock","10","","","no","no","","","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","closed","closed"
"Testing 123","","","publish","http://aze2.youareheremedia.com/product/testing-123/","#9 &amp; #10 Envelopes","","asdf","3","visible","instock","3","11","","no","no","","","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","closed","closed"
"Drive-Up Teller","SKU: 3347-TEL
Style: Drive-Up Teller
Size: 3-3/4 x 7
Color: White Wove
Paper Weight: 24#
Sealing Method: No-Seal Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 3-3/4 x 7
Color: White Wove
Paper Weight: 24#
Sealing Method: No-Seal Gum","publish","http://aze2.youareheremedia.com/product/drive-up-teller-3347-tel/","Stock Size Envelopes","","3347-TEL","","visible","instock","21.65","","","no","no","","7","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"A7 Announcement Machinable","SKU: A7-MFLAP
Style: A7 Announcement Machinable
Size: 5-1/4 x 7-1/4
Flap Size: 1-1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 5-1/4 x 7-1/4
Flap Size: 1-1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/a7-announcement-machinable-a7-mflap/","Stock Size Envelopes","","A7-MFLAP","","visible","instock","33.11","","","no","no","","7.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"A7 Announcement","SKU: A7
Style: A7 Announcement
Size: 5-1/4 x 7-1/4
Flap Size: 2-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 5-1/4 x 7-1/4
Flap Size: 2-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/a7-announcement-a7/","Stock Size Envelopes","","A7","","visible","instock","33.11","","","no","no","","7.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"A6 Announcement","SKU: A6
Style: A6 Announcement
Size: 4-3/4 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 4-3/4 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/a6-announcement-a6/","Stock Size Envelopes","","A6","","visible","instock","36.84","","","no","no","","6","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"A2 Announcement","SKU: A2
Style: A2 Announcement
Size: 4-3/8 x 5-3/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 4-3/8 x 5-3/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/a2-announcement-a2/","Stock Size Envelopes","","A2","","visible","instock","35.33","","","no","no","","4.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9-1/2 x 12-1/2 Open End - FIX","SKU: 915-OE-WH28
Style: Open End
Size: 9-1/2 x 12-1/2
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 9-1/2 x 12-1/2
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-12-12-12-open-end-915-oe-wh28/","Stock Size Envelopes","","915-OE-WH28","","visible","outofstock","","","","no","no","","24.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9 x 12 Open Side","SKU: 912-OS-WH28
Style: Open Side
Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-12-open-side-912-os-wh28/","Stock Size Envelopes","","912-OS-WH28","","visible","instock","59.62","","","no","no","","21.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9 x 12 Open Side","SKU: 912-OS-BK28
Style: Open Side
Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-12-open-side-912-os-bk28/","Stock Size Envelopes","","912-OS-BK28","","visible","instock","68.47","","","no","no","","21.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9 x 12 Open End Window","SKU: 912-OE-W-WH28
Style: Open End Window
Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Window Size: 1-1/4 x 3-3/4
Window Position: 7/8 Left x 8-1/4 Bottom
Availability: Plain items usually ship the same or next business day. Printed items ship an additional 3 to 5 days.","Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Window Size: 1-1/4 x 3-3/4
Window Position: 7/8 Left x 8-1/4 Bottom","publish","http://aze2.youareheremedia.com/product/open-end-912-oe-w-wh28/","Stock Size Envelopes","","912-OE-W-WH28","","visible","instock","77.55","","","no","no","","22.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9 x 12 Open End","SKU: 912-OE-WH24
Style: Open End
Size: 9 x 12
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 9 x 12
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-12-open-end-912-oe-wh24/","Stock Size Envelopes","","912-OE-WH24","","visible","instock","57.78","","","no","no","","19","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9 x 12 Open End","SKU: 912-OE-WH28
Style: Open End
Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-12-open-end-912-oe-wh28/","Stock Size Envelopes","","912-OE-WH28","","visible","instock","58.63","","","no","no","","22.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9 x 12 Open End","SKU: 912-OE-BK28
Style: Open End
Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-12-open-end-912-oe-bk28/","Stock Size Envelopes","","912-OE-BK28","","visible","instock","60.28","","","no","no","","22.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"9 x 12 Open End","SKU: 912-OE-BU28
Style: Open End
Size: 9 x 12
Color: Buff Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 9 x 12
Color: Buff Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-12-open-end-912-oe-bu28/","Stock Size Envelopes","","912-OE-BU28","","visible","instock","70.69","","","no","no","","22.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"7-1/2 x 10-1/2 Open End","SKU: 712-OE-WH24
Style: Open End
Size: 7-1/2 x 10-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.

<a class=""tm-section-link"" style=""display: inline;"" href=""#"" data-title=""Custom Printing Color"" data-sectionid=""555360ca3e1db8.27796367"">Custom Printing Color</a>","Size: 7-1/2 x 10-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/7-12-10-12-open-end-712-oe-wh24/","Stock Size Envelopes","","712-OE-WH24","","visible","instock","58.81","","","no","no","","22.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"6 x 9 Open Side","SKU: 69-OS-WH24
Style: Open Side
Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/6-9-open-side-69-os-wh24/","Stock Size Envelopes","","69-OS-WH24","","visible","instock","29.37","","","no","no","","10","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"6 x 9 Open End","SKU: 69-OE-WH24
Style: Open End
Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/6-9-open-end-69-oe-wh24/","Stock Size Envelopes","","69-OE-WH24","","visible","instock","40.03","","","no","no","","10","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"10 x 13 Open Side","SKU: 1013-OS-WH28
Style: Open Side
Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/10-13-open-side-1013-os-wh28/","Stock Size Envelopes","","1013-OS-WH28","","visible","instock","73.13","","","no","no","","26","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"10 x 13 Open Side","SKU: 1013-OS-BK28
Style: Open Side
Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/10-13-open-side-1013-os-bk28/","Stock Size Envelopes","","1013-OS-BK28","","visible","instock","78.36","","","no","no","","26","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"10 x 13 Open End","SKU: 1013-OE-BK28
Style: Open End
Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/10-13-open-end-1013-oe-bk28/","Stock Size Envelopes","","1013-OE-BK28","","visible","instock","72.05","","","no","no","","26.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"10 x 13 Open End","SKU: 1013-OE-WH28
Style: Open End
Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/10-13-open-end-1013-oe-wh28/","Stock Size Envelopes","","1013-OE-WH28","","visible","instock","69.3","","","no","no","","26.5","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"#9 Window","SKU: 9-W
Style: #9 Commercial
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom","publish","http://aze2.youareheremedia.com/product/9-commercial-9-w/","#9 &amp; #10 Envelopes","","9-W","","visible","instock","17.6","","","no","no","","6","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
"#9 Remittance","SKU: 9-REM
Style: #9 Remittance
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship the same or next day. Printed items ship an additional 3 to 5 days.","Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum","publish","http://aze2.youareheremedia.com/product/9-remittance-9-rem/","Stock Size Envelopes","","9-REM","","visible","instock","50.47","","","no","no","","7","","","","","no","","no","no","taxable","","http://aze2.youareheremedia.com/wp-content/uploads/|http://aze2.youareheremedia.com/wp-content/uploads/","","","","","","","open","closed"
