id,Title,Content,SKU,Price,"Sale Price","Product Type",parent_id,"Regular Price","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Stock Status","Total Sales","Attribute Name (pa_printing-detail)","Attribute Value (pa_printing-detail)","Attribute In Variations (pa_printing-detail)","Attribute Is Visible (pa_printing-detail)","Attribute Is Taxonomy (pa_printing-detail)","Attribute Name (pa_sealant)","Attribute Value (pa_sealant)","Attribute In Variations (pa_sealant)","Attribute Is Visible (pa_sealant)","Attribute Is Taxonomy (pa_sealant)","Attribute Name (pa_weight-color)","Attribute Value (pa_weight-color)","Attribute In Variations (pa_weight-color)","Attribute Is Visible (pa_weight-color)","Attribute Is Taxonomy (pa_weight-color)","Attribute Name (pa_window)","Attribute Value (pa_window)","Attribute In Variations (pa_window)","Attribute Is Visible (pa_window)","Attribute Is Taxonomy (pa_window)","Attribute Name (Custom-printing)","Attribute Value (Custom-printing)","Attribute In Variations (Custom-printing)","Attribute Is Visible (Custom-printing)","Attribute Is Taxonomy (Custom-printing)","Attribute Name (Dropdown-feature)","Attribute Value (Dropdown-feature)","Attribute In Variations (Dropdown-feature)","Attribute Is Visible (Dropdown-feature)","Attribute Is Taxonomy (Dropdown-feature)","Attribute Name (Sealing-method)","Attribute Value (Sealing-method)","Attribute In Variations (Sealing-method)","Attribute Is Visible (Sealing-method)","Attribute Is Taxonomy (Sealing-method)",Excerpt,Permalink,"Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text","Product Categories","Product Tags",Length,Weight,Width,Height,"Purchase Note",Status,Slug
75,"#8-5/8 Regular","SKU: 858-R
Style: #8-5/8 Commercial
Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",858-R,15.78,,simple,0,15.78,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,All-Commercials.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,869,"All Commercials","#80-Use This One",,,instock,1,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/8-58-commercial-858-r/,,,,,,,,,"Stock Size Envelopes",,,6,,,,publish,8-58-commercial-858-r
76,"#6-3/4 Regular","SKU: 634-R
Style: #6-3/4 Commercial
Size: 3-5/8 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",634-R,8.18,,simple,0,8.18,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,All-Commercials.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/All-Commercials.jpg,869,"All Commercials","#80-Use This One",,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 3-5/8 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/6-34-commercial-634-r/,,,,,,,,,"Stock Size Envelopes",,,5,,,,publish,6-34-commercial-634-r
77,"#10 Window Tint Zip Stick Self Seal","SKU: 10-W-Z-BKT
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-W-Z-BKT,31.08,,simple,0,31.08,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-H-10-Open-Side-Window-Tint-Front-Back.jpg,NI-H-10-Open-Side-Window-Tint-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-H-10-Open-Side-Window-Tint-Front-Back.jpg,883,"#10 Open Side Window Tint-Front:Back",#110,,,instock,8,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-open-side-10-w-z-bkt/,,,,,,,,,"Stock Size Envelopes",,,8,,,,publish,10-open-side-10-w-z-bkt
78,"#10 Window Zip Stick Self Seal","SKU: 10-W-Z
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-W-Z,29.22,,simple,0,29.22,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-G-10-Open-Side-Window-Front-Back.jpg,NI-G-10-Open-Side-Window-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-G-10-Open-Side-Window-Front-Back.jpg,882,"#10 Open Side Window Front-Back",#110,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-open-side-10-w-z/,,,,,,,,,"Stock Size Envelopes",,,8,,,,publish,10-open-side-10-w-z
79,"#10 Tint Zip Stick Self Seal","SKU: 10-Z-BKT
Style: #10 Open Side
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-Z-BKT,29.50,,simple,0,29.50,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,10-Open-Side.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,874,"#10 Open Side",#110,,,instock,14,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Zip Stick
Security Tint: Black",http://azenvelope.youareheremedia.com/product/10-open-side-10-z-bkt/,,,,,,,,,"Stock Size Envelopes",,,8,,,,publish,10-open-side-10-z-bkt
80,"#10 Zip Stick Self Seal","SKU: 10-Z
Style: #10 Open Side
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Zip Stick
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-Z,27.78,,simple,0,27.78,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,10-Open-Side.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/10-Open-Side.jpg,874,"#10 Open Side",#110,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Zip Stick",http://azenvelope.youareheremedia.com/product/10-open-side-10-z/,,,,,,,,,"Stock Size Envelopes",,,8,,,,publish,10-open-side-10-z
81,"#10 Heat Resistant","SKU: 10-WH
Style: #10 Heat Resistant
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-WH,27.94,,simple,0,27.94,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,873,"#10 Standard Window -Front-Back","#80-Use This One",,,instock,8,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper: Weight 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-heat-resistant-10-wh/,,,,,,,,,"Stock Size Envelopes",,,7,,,,publish,10-heat-resistant-10-wh
82,"#10 Fast Forward Window","SKU: 10-FFW
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 11/16 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-FFW,11.28,,simple,0,11.28,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-F-10-Fast-Forward-Window-Front-Back.jpg,NI-F-10-Fast-Forward-Window-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-F-10-Fast-Forward-Window-Front-Back.jpg,881,"#10 Fast Forward Window -Front-Back","#80-Use This One",,,instock,26,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 11/16 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-ffw/,,,,,,,,,"#9 &amp; #10 Envelopes>Window",,,7,,,,publish,10-commercial-10-ffw
83,"#10 Right Window","SKU: 10-RW
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 4-1/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-RW,13.82,,simple,0,13.82,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-E-10-Right-Window-Front-Back.jpg,NI-E-10-Right-Window-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-E-10-Right-Window-Front-Back.jpg,880,"#10 Right Window -Front-Back","#80-Use This One",,,instock,3,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 4-1/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-rw/,,,,,,,,,"#9 &amp; #10 Envelopes>Window",,,7,,,,publish,10-commercial-10-rw
84,"#10 Window Tint","SKU: 10-W-BKT
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-W-BKT,13.27,,simple,0,13.27,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-D-10-Window-Tint-Front-Back.jpg,NI-D-10-Window-Tint-Front-Back.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-D-10-Window-Tint-Front-Back.jpg,872,"#10 Back","#80-Use This One",,,instock,1,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-w-bkt/,,,,,,,,,"#9 &amp; #10 Envelopes>Window",,14,7,10,6,,publish,10-commercial-10-w-bkt
85,"#10 Window","SKU: 10-W
Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-W,11.28,,simple,0,11.28,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,873,"#10 Standard Window -Front-Back","#80-Use This One",,,instock,38,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 4-1/8 x 9-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/10-commercial-10-w/,,,,,,,,,"#9 &amp; #10 Envelopes>Window",,14,7,10,6,,publish,10-commercial-10-w
87,"#9 Window","SKU: 9-W
Style: #9 Commercial
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",9-W,11.28,,simple,0,11.28,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg,873,"#10 Standard Window -Front-Back","#80-Use This One",,,instock,3,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1-1/8 x 4-1/2
Window Position: 7/8 Left x 1/2 Bottom",http://azenvelope.youareheremedia.com/product/9-commercial-9-w/,,,,,,,,,"#9 &amp; #10 Envelopes>Window",,14,6,10,6,,publish,9-commercial-9-w
88,"#9 Regular Tint","SKU: 9-R-BKT
Style: Commercial
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",9-R-BKT,11.62,,simple,0,11.62,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-K-10-Regular-Tint-Front1.jpg,NI-K-10-Regular-Tint-Front1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-K-10-Regular-Tint-Front1.jpg,870,"#10 Regular Tint -Front",,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black",http://azenvelope.youareheremedia.com/product/9-commercial-9-r-bkt/,,,,,,,,,"#9 &amp; #10 Envelopes>Regular",,14,6,10,6,,publish,9-commercial-9-r-bkt
